epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,445.407,0.53571,0.58121,0.90951,0.98664,0.99167,0.995,0.92165,0.42162,0.39511,0.81871,0.007096,0.007096,0.007096
46,454.435,0.51328,0.56373,0.89831,0.98942,1,0.995,0.9271,0.40149,0.37302,0.81282,0.00703,0.00703,0.00703
47,463.622,0.53016,0.58517,0.91852,0.98206,0.98971,0.99458,0.92837,0.39564,0.40351,0.81136,0.006964,0.006964,0.006964
48,473.03,0.51288,0.57792,0.91695,0.99652,1,0.995,0.92167,0.39966,0.36421,0.80876,0.006898,0.006898,0.006898
49,482.582,0.50101,0.54224,0.89247,0.99493,1,0.995,0.92399,0.39448,0.35891,0.81146,0.006832,0.006832,0.006832
50,492.131,0.52472,0.57133,0.92257,0.9949,1,0.995,0.93164,0.39357,0.36604,0.80757,0.006766,0.006766,0.006766
51,501.901,0.49919,0.54467,0.89383,0.99346,1,0.995,0.91923,0.40421,0.37062,0.81147,0.0067,0.0067,0.0067
52,511.492,0.51054,0.53851,0.89994,0.99276,1,0.995,0.92482,0.40674,0.36682,0.81384,0.006634,0.006634,0.006634
53,520.745,0.50832,0.52698,0.8989,0.99449,1,0.995,0.92712,0.3941,0.34594,0.81382,0.006568,0.006568,0.006568
54,530.036,0.4993,0.50722,0.89191,0.99572,1,0.995,0.92678,0.38766,0.34652,0.8126,0.006502,0.006502,0.006502
55,539.15,0.51289,0.52403,0.90808,0.99673,0.9993,0.995,0.91947,0.40869,0.3421,0.81165,0.006436,0.006436,0.006436
56,548.813,0.50164,0.519,0.8912,0.99633,1,0.995,0.93096,0.37768,0.34024,0.81207,0.00637,0.00637,0.00637
57,558.885,0.47223,0.50318,0.88656,0.99643,1,0.995,0.93113,0.40013,0.34383,0.81565,0.006304,0.006304,0.006304
58,568.792,0.47659,0.49013,0.87984,0.99615,1,0.995,0.92417,0.39378,0.34636,0.8078,0.006238,0.006238,0.006238
59,579.042,0.49177,0.49335,0.88929,0.99527,1,0.995,0.92438,0.39838,0.35529,0.81003,0.006172,0.006172,0.006172
60,588.716,0.4784,0.51164,0.89228,0.99696,1,0.995,0.92232,0.40922,0.35818,0.81438,0.006106,0.006106,0.006106
61,598.116,0.47561,0.48883,0.88449,0.99483,1,0.995,0.93184,0.39103,0.34451,0.80809,0.00604,0.00604,0.00604
62,607.251,0.49297,0.50163,0.89279,0.9871,0.98997,0.99108,0.92525,0.3971,0.35786,0.81114,0.005974,0.005974,0.005974
63,616.759,0.48211,0.49967,0.88593,0.99379,0.98724,0.995,0.93861,0.3827,0.35219,0.80613,0.005908,0.005908,0.005908
64,626.587,0.48653,0.50006,0.89034,0.99341,1,0.995,0.93154,0.38396,0.33149,0.80297,0.005842,0.005842,0.005842
65,640.773,0.48482,0.49004,0.88912,0.99498,1,0.995,0.92462,0.39389,0.33569,0.80595,0.005776,0.005776,0.005776
66,658.003,0.46587,0.47234,0.8833,0.9956,1,0.995,0.94208,0.37592,0.32762,0.80493,0.00571,0.00571,0.00571
67,675.612,0.45875,0.45898,0.88727,0.99641,1,0.995,0.93613,0.36368,0.31925,0.80225,0.005644,0.005644,0.005644
68,693.251,0.4647,0.48136,0.89412,0.99567,1,0.995,0.93303,0.37063,0.33225,0.80285,0.005578,0.005578,0.005578
69,705.555,0.4662,0.46988,0.88138,0.99594,1,0.995,0.93176,0.37259,0.31622,0.80333,0.005512,0.005512,0.005512
70,714.684,0.47625,0.46899,0.88593,0.99572,1,0.995,0.94015,0.37163,0.31466,0.8046,0.005446,0.005446,0.005446
71,723.746,0.46124,0.45038,0.88437,0.99515,1,0.995,0.93989,0.37404,0.30833,0.80289,0.00538,0.00538,0.00538
72,732.995,0.45441,0.45922,0.88156,0.99526,1,0.995,0.94732,0.35517,0.30143,0.80493,0.005314,0.005314,0.005314
73,742.021,0.46054,0.45073,0.88381,0.99256,1,0.995,0.93488,0.37086,0.30137,0.8016,0.005248,0.005248,0.005248
74,751.28,0.46713,0.46169,0.88524,0.99654,1,0.995,0.9362,0.36702,0.29596,0.80063,0.005182,0.005182,0.005182
75,760.103,0.45781,0.45216,0.87691,0.99387,1,0.995,0.93999,0.37944,0.30154,0.803,0.005116,0.005116,0.005116
76,768.935,0.45323,0.44869,0.89292,0.99386,1,0.995,0.93075,0.35541,0.30255,0.79836,0.00505,0.00505,0.00505
77,777.666,0.46574,0.44794,0.88772,0.99518,1,0.995,0.93255,0.36085,0.29236,0.80093,0.004984,0.004984,0.004984
78,787.223,0.45075,0.44697,0.88383,0.99655,1,0.995,0.93612,0.37418,0.30971,0.80252,0.004918,0.004918,0.004918
79,797.125,0.45175,0.44249,0.87962,0.99613,1,0.995,0.93946,0.3638,0.29921,0.80093,0.004852,0.004852,0.004852
