epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,87.0263,0.90646,0.87861,1.14985,0.79877,0.79614,0.86368,0.59265,0.97566,1.07464,1.18091,0.00123566,0.00123566,0.00123566
43,89.0854,0.92603,0.83222,1.15407,0.90708,0.72517,0.88863,0.61804,0.98585,0.99078,1.15218,0.00123094,0.00123094,0.00123094
44,91.2712,0.89918,0.82647,1.12383,0.86335,0.80033,0.89628,0.62632,0.99553,0.97957,1.14427,0.00122622,0.00122622,0.00122622
45,93.4442,0.92116,0.82208,1.14836,0.90626,0.77052,0.90934,0.64148,0.94934,0.87122,1.11449,0.00122151,0.00122151,0.00122151
46,95.467,0.91905,0.8278,1.14831,0.81894,0.85016,0.88756,0.62587,0.97616,0.89131,1.14711,0.00121679,0.00121679,0.00121679
47,97.4638,0.90364,0.82256,1.15125,0.82964,0.83163,0.88607,0.6402,0.96686,0.88854,1.11688,0.00121208,0.00121208,0.00121208
48,99.3881,0.94701,0.81813,1.16467,0.82781,0.86013,0.91154,0.66894,0.91328,0.8413,1.08965,0.00120736,0.00120736,0.00120736
49,101.587,0.89416,0.79804,1.14724,0.83436,0.87532,0.92151,0.65048,0.92624,0.76605,1.10948,0.00120265,0.00120265,0.00120265
50,103.67,0.88205,0.80197,1.12995,0.89597,0.86779,0.92958,0.67406,0.88938,0.73385,1.09271,0.00119793,0.00119793,0.00119793
51,106.329,0.92985,0.81447,1.16385,0.8497,0.86771,0.90704,0.64219,0.93888,0.82384,1.12984,0.00119322,0.00119322,0.00119322
52,108.885,0.89665,0.80597,1.1478,0.83977,0.85638,0.91792,0.64415,0.95649,0.83719,1.15566,0.0011885,0.0011885,0.0011885
53,110.997,0.89749,0.80321,1.14411,0.80195,0.86044,0.90679,0.62321,0.97292,0.89601,1.18642,0.00118378,0.00118378,0.00118378
54,113.041,0.87508,0.78303,1.13526,0.83813,0.83187,0.89532,0.63546,0.92218,0.86139,1.13621,0.00117907,0.00117907,0.00117907
55,114.97,0.86856,0.7517,1.1214,0.84973,0.88728,0.92787,0.66155,0.94734,0.79373,1.11033,0.00117435,0.00117435,0.00117435
56,117.137,0.84046,0.75523,1.10685,0.83676,0.78074,0.89165,0.6431,0.91832,0.834,1.10921,0.00116964,0.00116964,0.00116964
57,120.679,0.87473,0.74509,1.12406,0.73506,0.75829,0.83692,0.5732,1.0105,1.01886,1.15427,0.00116492,0.00116492,0.00116492
58,123.9,0.84805,0.76928,1.10118,0.87153,0.7414,0.87975,0.60343,1.00809,0.93838,1.16268,0.00116021,0.00116021,0.00116021
59,127.336,0.87527,0.75063,1.12546,0.80206,0.86754,0.91136,0.63795,0.98751,0.78982,1.12546,0.00115549,0.00115549,0.00115549
60,130.717,0.87665,0.74373,1.11366,0.86702,0.85387,0.92688,0.66999,0.90772,0.76448,1.09269,0.00115077,0.00115077,0.00115077
61,134.053,0.86542,0.75162,1.12252,0.87339,0.86857,0.92447,0.67602,0.91758,0.73568,1.09555,0.00114606,0.00114606,0.00114606
62,137.44,0.89593,0.77676,1.14755,0.80318,0.84332,0.8805,0.61024,0.96756,0.84332,1.12531,0.00114134,0.00114134,0.00114134
63,140.836,0.85145,0.72827,1.11722,0.81405,0.83575,0.89236,0.63262,0.93265,0.90951,1.09972,0.00113663,0.00113663,0.00113663
64,144.376,0.87203,0.72767,1.11856,0.75691,0.8514,0.87045,0.61803,0.91223,0.92449,1.0796,0.00113191,0.00113191,0.00113191
65,147.745,0.84517,0.7341,1.11642,0.9136,0.85757,0.93109,0.65318,0.95705,0.72166,1.11783,0.0011272,0.0011272,0.0011272
66,151.172,0.83873,0.73287,1.10762,0.89355,0.8211,0.91722,0.65864,0.92952,0.74931,1.10904,0.00112248,0.00112248,0.00112248
67,154.586,0.82884,0.71186,1.09872,0.84464,0.84562,0.92202,0.65955,0.96823,0.81034,1.11619,0.00111776,0.00111776,0.00111776
68,158.102,0.82147,0.70917,1.09881,0.84161,0.87797,0.92031,0.65116,0.94278,0.79972,1.13089,0.00111305,0.00111305,0.00111305
69,161.518,0.82104,0.69616,1.09403,0.8766,0.87559,0.90967,0.64585,0.95455,0.78788,1.13269,0.00110833,0.00110833,0.00110833
70,164.882,0.80699,0.68797,1.08352,0.89682,0.80809,0.90641,0.64093,0.95439,0.8125,1.13471,0.00110362,0.00110362,0.00110362
71,168.216,0.8201,0.68203,1.0979,0.87042,0.85565,0.92517,0.67031,0.92803,0.73427,1.11569,0.0010989,0.0010989,0.0010989
72,171.46,0.80271,0.68073,1.08389,0.84287,0.8595,0.89738,0.64205,0.96018,0.78161,1.11543,0.00109419,0.00109419,0.00109419
73,174.939,0.80888,0.70397,1.09235,0.84088,0.8443,0.91165,0.65954,0.92526,0.79438,1.12325,0.00108947,0.00108947,0.00108947
74,178.14,0.83837,0.693,1.10455,0.80449,0.84947,0.88969,0.63331,0.93411,0.76271,1.10792,0.00108475,0.00108475,0.00108475
75,181.34,0.77092,0.67345,1.06682,0.83055,0.88898,0.9108,0.64555,0.94654,0.73612,1.11396,0.00108004,0.00108004,0.00108004
76,184.503,0.82077,0.70776,1.10808,0.90157,0.87893,0.94605,0.69243,0.89617,0.67108,1.08079,0.00107532,0.00107532,0.00107532
77,187.931,0.79615,0.68438,1.08663,0.87482,0.85863,0.93405,0.66459,0.92253,0.71134,1.11939,0.00107061,0.00107061,0.00107061
78,191.289,0.7804,0.65295,1.07078,0.85151,0.82442,0.89971,0.63138,0.96007,0.81443,1.15856,0.00106589,0.00106589,0.00106589
79,194.572,0.79841,0.68381,1.08628,0.89121,0.88021,0.93205,0.67475,0.92673,0.69459,1.11837,0.00106118,0.00106118,0.00106118
80,197.891,0.84462,0.67499,1.11278,0.91397,0.87098,0.93154,0.68065,0.90862,0.66484,1.10035,0.00105646,0.00105646,0.00105646
81,201.116,0.78077,0.68014,1.07387,0.90599,0.87605,0.91519,0.67198,0.9403,0.67658,1.1157,0.00105174,0.00105174,0.00105174
82,204.567,0.76976,0.61349,1.07344,0.89283,0.84061,0.89796,0.64782,0.94925,0.66634,1.13315,0.00104703,0.00104703,0.00104703
83,207.875,0.76608,0.64305,1.08426,0.88712,0.82267,0.89569,0.65377,0.92272,0.65266,1.11208,0.00104231,0.00104231,0.00104231
84,211.015,0.77489,0.63098,1.09212,0.90093,0.79637,0.89022,0.64105,0.95558,0.67529,1.11644,0.0010376,0.0010376,0.0010376
85,214.2,0.74536,0.6162,1.06254,0.9019,0.89918,0.92461,0.66854,0.95919,0.6315,1.12599,0.00103288,0.00103288,0.00103288
86,217.45,0.75854,0.62166,1.06154,0.9302,0.90932,0.93101,0.67093,0.97551,0.62973,1.13423,0.00102817,0.00102817,0.00102817
87,220.822,0.75387,0.61922,1.06433,0.91463,0.83368,0.90075,0.64389,0.9506,0.68493,1.115,0.00102345,0.00102345,0.00102345
88,224.068,0.78535,0.61486,1.06255,0.86234,0.7933,0.88546,0.60562,1.00958,0.82069,1.17408,0.00101873,0.00101873,0.00101873
89,227.315,0.75999,0.61613,1.06102,0.82784,0.76663,0.86958,0.61268,1.00825,0.82148,1.16263,0.00101402,0.00101402,0.00101402
90,230.558,0.78612,0.64215,1.06183,0.88077,0.79416,0.89234,0.64637,0.92864,0.71357,1.10597,0.0010093,0.0010093,0.0010093
91,233.835,0.76005,0.64039,1.06324,0.90195,0.76566,0.89441,0.6487,0.92627,0.7076,1.09469,0.00100459,0.00100459,0.00100459
92,237.009,0.74022,0.62695,1.05318,0.84132,0.83859,0.87606,0.64244,0.95754,0.69433,1.1199,0.000999871,0.000999871,0.000999871
93,240.102,0.74906,0.6299,1.07017,0.91244,0.8608,0.91596,0.66153,0.93422,0.6677,1.10047,0.000995156,0.000995156,0.000995156
94,243.29,0.76179,0.63039,1.05197,0.88192,0.85393,0.91803,0.66474,0.93532,0.72813,1.11152,0.00099044,0.00099044,0.00099044
95,246.483,0.79405,0.60955,1.07802,0.86165,0.83723,0.89025,0.63349,0.99128,0.86061,1.15746,0.000985724,0.000985724,0.000985724
96,249.798,0.77541,0.61707,1.06988,0.84821,0.81712,0.88855,0.62329,0.98252,0.80694,1.17229,0.000981008,0.000981008,0.000981008
